ID,Headline,Scraped_At
1,What next as XRP rises to $1.33 but fails to break out,2026-04-03 23:06:24
2,CoinDesk 20 performance update: Bitcoin (BTC) trades flat while altcoins rise,2026-04-03 23:06:24
3,"U.S. March jobs smash expectations, with 178,000 added",2026-04-03 23:06:24
4,"Ethereum Foundation stakes another $93 million ether, reaching its 70,000 ETH target",2026-04-03 23:06:24
5,Crypto snoozes into Good Friday as oil and macro stir: Crypto Daybook Americas,2026-04-03 23:06:24
6,Crypto consolidates as volatility cools and futures markets tilt bearish,2026-04-03 23:06:24
7,Naoris Protocol's quantum-resistant blockchain goes live as Bitcoin and Ethereum face 'Q-Day' threats,2026-04-03 23:06:24
8,Bitcoin heads into holiday weekend exposed as ETF and CME flows go offline,2026-04-03 23:06:24
9,"Todd Blanche, author of DOJ crypto enforcement memo, is now interim AG",2026-04-03 23:06:24
10,Crypto market structure bill release pushed back as industries view revised stablecoin yield compromise this week,2026-04-03 23:06:24
11,"Here’s why bitcoin’s drop below $68,000 raises the risk of a crash under $60,000",2026-04-03 23:06:24
12,"CFTC sues Illinois, Arizona, Connecticut over states' sports prediction market efforts",2026-04-03 23:06:24
13,"Coinbase wins initial bank regulator nod for trust charter, boosting custody push",2026-04-03 23:06:24
14,Elon Musk's X to deploy scam kill switch by auto-locking first-time crypto mentioners,2026-04-03 23:06:24
15,How a Solana feature designed for convenience let attackers drain more than $270 million from Drift,2026-04-03 23:06:24
16,"Bitcoin trims big loss, stocks erase 2% decline, as Iran signals cooperation on key shipping route",2026-04-03 23:06:24
17,Crypto for Advisors: Crypto custody’s evolution,2026-04-03 23:06:24
18,North Koreans hackers likely behind $286 million Drift Protocol exploit: Elliptic,2026-04-03 23:06:24
19,"Oil shock, Iran war risk keep crypto investors on sidelines: Grayscale",2026-04-03 23:06:24
20,The 'time pain' trap: why bitcoin’s bear market might need a few more months of ‘boring’ to hit a true floor,2026-04-03 23:06:24
